order_num,order_letter,name_en,name_mn,category_en,category_mn,has_detailed_plan,has_approved_funding,has_begun_implementation,is_complete,original_timeline_en,original_timeline_mn,description_en,description_mn,status,status_description_en,status_description_mn,status_2019,tpc_comments
32,,CCC to resolve claims of incomplete provision of compensation,"Нөхөн олговор гүйцэд олгогдоогүй тухай нэхэмжлэлийг НОНХ-гоор хэлэлцэн, шийдвэрлэх",Individual Compensation,Хувь хүний нөхөн олговор,Y,Y,Y,N,Complete Outcome Evaluation in 2017,Үр Дүнгийн Үнэлгээг 2017 онд дуусгах,The Parties agreed that the Compensation Claims Committee would resolve any grievance and/or complaints on incomplete compensation filed by individual herder households.,"Нөхөн олговор дутуу олгогдсон тухай малчин өрхүүдээс ирүүлсэн аливаа өргөдөл, гомдлыг Нөхөн Олговрын Нэхэмжлэлийн хороогоор хэлэлцэн шийдвэрлэхээр  талууд тохирсон. ",in_progress,"This commitment is IN PROGRESS. A total of USD 1.2 million has been distributed to herders since 2017 as part of the individual compensation packages related to commitments #26, #29, and #32. As of May 2020, the TPC received 232 claims, of which 157 were approved for compensation packages.  Compensation has been distributed to 148 of those households so far.","Энэ үүрэг амлалт ХЭРЭГЖИЖ байна. 2017 оноос хойш үүрэг амлалт 26, 29, 32-т заасан хувь хүний нөхөн олговрын багцын хүрээнд 1,2 сая ам.доллар малчдад олгосон. 2020 оны 5 дугаар сарын байдлаар ГТЗ 232 нэхэмжлэл хүлээн авч, 157-д нь нөхөн олговор олгохоор баталжээ.  Өнөөг хүртэл 148 өрхөд нөхөн олговор олгоод байна. ",in_progress,"According to TPC assessment the implementation is 95% i.e. IMPLEMENTED WELL: TPC/CCC have received a total of 232 claims out of which 157 were approved. To date, OT provided compensations amounting to USD 1.2 mln to 148 households."
33,,Cancel confidentiality clauses of 2004 and 2011 compensation agreements,2004 ба 2011 оны гэрээнүүд дэх нууцлалын заалтыг цуцлах,Individual Compensation,Хувь хүний нөхөн олговор,N/A,N/A,N/A,Y,22-Mar-17,2017 оны 3 сарын 22,"Parties mutually agreed to cancel the confidentiality clauses in the 2004 and 2011 compensation agreements. This agreement was made so that those herders who have received compensation for livelihoods impacts by OT are able to disclose information about their compensation if they choose to do so, without fear of retribution.",Талууд 2004 ба 2011 оны нөхөн олговрын гэрээний нууцлалын заалтыг цуцлахаар харилцан тохирсон. ОТ-гоос амьжиргаанд нь учруулсан нөлөөллийн төлөө нөхөн олговор авсан малчид өөрсдөө хүсвэл буруудна байх гэж эмээлгүй өөрийн нөхөн олговрын гэрээний талаарх мэдээллээ ил тод болгох боломжийг олгохын тулд ингэж тохирсон.,completed,"This commitment was COMPLETED in March 2017. Each herder is free to share their own compensation agreement, at their own discretion.",Энэ үүрэг амлалт 2017 оны 3 сард БИЕЛСЭН. Малчид өөрийн үзэмжээр нөхөн олговрын гэрээгээ чөлөөтэй ил болгож болно. ,completed,According to TPC assessment the implementation is 100% i.e. COMPLETED FULLY. 
34,,Implement Khanbogd Soum Animal Husbandry Sector Development Program through 2024,Ханбогд сумын Мал Аж Ахуйн Салбарын 2024 он хүртэлх Хөгжлийн Хөтөлбөрийг хэрэгжүүлэх,Animal Husbandry Development,Мал аж ахуйг хөгжүүлэх,Y,Y,Y,N,2017-2024,2017-2024,"In 2015, OT entered into a ""Cooperation Agreement"" with the South Gobi aimag and Khanbogd, Manlai, Bayan-Ovoo and Dalanzadgad soums for the purpose of defining how they would work together for the next 30 years towards sustainable development. Through the Cooperation Agreement, the Gobi Oyu Development Support Fund (DSF) was created to provide local grants focused on traditional livestock production and related sectors. The Khanbogd soum government developed the ""KB Soums' Animal Husbandry Sector's Development Program until 2024"" which outlines long-term projects to be implemented with funding support from OT's Development Support Fund. The agreement with herders includes these projects as part of collective compensation for herder households in Khanbogd soum, though the government and OT committed to their implementation independent of the herders' complaint. ","ОТ ирэх 30 жилд тогтвортой амьжиргааны төлөө хэрхэн хамтран ажиллахаа тодорхойлох зорилгоор Өмнөговь аймаг, Ханбогд, Манлай, Баян-Овоо, Даланзадгад сумдтай “Хамтын Ажиллагааны Гэрээ”-г 2015 онд байгуулсан. Хамтын Ажиллагааны Гэрээний хүрээнд уламжлалт мал аж ахуйн үйлдвэрлэл болон бусад холбогдох салбарт чиглэсэн санхүүгийн дэмжлэг олгох зорилгоор “Говийн Оюу” Хөгжлийг Дэмжих Сан (ХДС) байгуулагджээ.  Ханбогд сумын засаг захиргаанаас гаргасан “ХБ сумын мал аж ахуйн салбарыг 2024 он хүртэл хөгжүүлэх хөтөлбөр”-т урт хугацааны төслүүдийг Хөгжлийг Дэмжих Сангийн санхүүжилт дэмжлэгээр хэрэгжүүлнэ хэмээн тусгасан байна. Засгийн газар, Оюу Толгой уг төслүүдийг малчдын гомдлоос хамааралгүйгээр    хэрэгжүүлэх үүрэгтэй хэдий ч малчидтай байгуулсан гэрээнд тэдгээрийг Ханбогд сумын малчин өрхүүдийн нийтийн нөхөн төлбөрийн нэг хэсэг болгон  оруулжээ.",in_progress,"This commitment is IN PROGRESS, though some of the components are delayed. A challenge with relying on funding from the Development Support Fund (DSF), is that the money received by the Khanbogd Soum government from the DSF is not dedicated for use to implement the Animal Husbandry programs. The Khanbogd Soum government reported that it receives USD 70,000 from the DSF each year, and each year, the soum receives project proposals and decides what it will prioritize for funding.","Энэ үүрэг амлалтын зарим хэсэг нь хойшлогдсон хэдий ч хэрэгжилт ЯВАГДАЖ байна. Хөгжлийг Дэмжих Сангаас санхүүжилт гаргахад нэг асуудал байгаа нь Ханбогд сумын засаг захиргаанд ХДС-гаас  өгөх мөнгө зөвхөн Хөдөө Аж Ахуйн хөтөлбөрүүдэд зарцуулагдахгүй.  Ханбогд сумын засаг захиргаа ХДС-гаас жилд 70,000 ам.доллар авдаг бөгөөд сум жил бүр төслийн саналууд хүлээж аваад алийг нь эхэлж санхүүжүүлэх талаар шийдвэр гаргадаг гэж мэдээлсэн. ",in_progress,"The delay in implementation of some projects is not related to the DFS funding or financing issue. TPC have faced challenges in implementing the projects in a sustainable and efficient way to make them beneficial for the herders’ households. Since 2017, no project has experienced a delay in fund provisioning by DSF or change in the terms of reference including a number of projects such as TPC Gobi Grove Project etc. It is the same for Khanbogd soum livestock sector development program, DSF-funded animal health center as well as the fodder storage project – there was no delay due to DSF funding"
34,a,"Assess pasture carrying capacity and quality, determine forage reserve, and update its potential","Бэлчээрийн даац ба чанарт үнэлгээ хийх, тэжээлийн нөөцийг тодорхойлж, хүчин чадлыг шинэчлэн тогтоох",Animal Husbandry Development,Мал аж ахуйг хөгжүүлэх,,,,,2016-2017,2016-2017,"The South Gobi aimag and Food & Agricultural Department will conduct an assessment of the pasture carrying capacity and quality, determine fodder reserves, and update their potential.","Өмнөговь аймаг, Хүнс хөдөө аж ахуйн газраас бэлчээрийн даац ба чанарт үнэлгээ хийн, тэжээлийн нөөцийг тодорхойлж, хүчин чадлыг шинэчлэн тогтооно.",completed,"This commitment is COMPLETED.  A professional organization was hired with MNT 320 million in funding from the DSF.  In 2019, the organization conducted a survey to identify the pasture capacity and reserves across four soums (including Khanbogd soum). This input was used to develop the pasture management plan discussed in commitment #1.",Энэ амлалт үүрэг БИЕЛСЭН. ХДС-гийн 320 сая төгрөгийн санхүүжилтээр мэргэжлийн байгууллагатай гэрээ байгуулсан. 2019 онд уг байгууллага дөрвөн сумын (Ханбогдыг оролцуулан) бэлчээрийн даац болон нөөцийг тогтоох судалгаа хийсэн. Энэ судалгааг үүрэг амлалт 1-д заасан бэлчээрийн менежментийн төлөвлөгөөг боловсруулахад ашиглажээ. ,,"OT comment: COMPLETED. A pasture management planning  project of 320 mln tugrugs funded by DSF was implemented in 4 soums (including Khanbogd soum) of Umnugovi aimag. In 2019, a professional organization has conducted a survey to identify pasture capacity and its reserves and developed a plan which was presented to Khanbogd soum."
34,b,"Establish centralized storage for livestock forage and maintain forage reserve, form an animal emergency risk fund and improve its managment","Малын тэжээлийн төвлөрсөн агуулах байгуулж, тэжээл нөөцтэй болох, онцгой байдлын эрсдлийн фонд бий болгож, менежментийг сайжруулах",Animal Husbandry Development,Мал аж ахуйг хөгжүүлэх,Y,Y,Y,N,2018-2020,2018-2020,"The soum government prepares for emergency shortages of animal forage and hay by storing reserves. For example, the soum government purchases reserve hay from other regions of Mongolia. If the price of hay increases during emergencies, it will sell its reserve hay to herders at the lower price the government paid to purchase the hay.</p> <p>To better prepare for emergency situations that may impact herders, the soum government agreed to design and build a centralized storage area for livestock forage, to maintain a reserve of forage, to form an animal emergency risk fund, and to improve its management of these.","Сумын засаг захиргаа онцгой байдлын үед малын өвс тэжээлийн дутагдалд орохоос сэргийлж нөөц бэлтгэдэг. Тухайлбал сумын захиргаа Монгол улсын бусад бүс нутгаас нөөцийн өвс худалдан авдаг байна.  Онцгой байдлын үед өвсний үнэ өсвөл засгийн газраас өвс худалдан авахад төлсөн бага үнээр малчдад худалдана.</p> <p>Малчдад тулгарч болох онцгой байдлын тохиолдолд бэлтгэл сайтай байхын тулд сумын засаг захиргаа малын тэжээлийн төв агуулах байгуулан, тэжээл нөөцөлж, онцгой байдлын эрсдлийн фонд бий болгон, тэдгээрийн менежментийг сайжруулахаар тохирсон. ",in_progress,"This commitment is IN PROGRESS. The soum  has overseen the completed construction of the storage facility for hay and forage, which as of May 2020 is in the process of being commissioned and made ready for use.","Энэ үүрэг амлалт ХЭРЭГЖИЖ байгаа. Ханбогд  суманд өвс тэжээлийн агуулах баригдаж дуусан ба 2020 оны 5 дугаар сарын байдлаар комисст хүлээлгэн өгч, ашиглалтанд оруулахаар ажиллаж байна.",,"OT comment: 90% fulfillment, IMPLEMENTION is going WELL.  Construction of hay and forage storage in Khanbogd soum with 320 mln tugrugs fund provided by DSF is completed and in the process of commissioning."
34,c,"Build, commission and staff an Animal Health Center","Малын эрүүл мэндийн төв барьж, ашиглалтанд оруулах, ажилтнаар хангах",Animal Husbandry Development,Мал аж ахуйг хөгжүүлэх,N,Y,Y,N,2016-2019,2016-2019,"The soum government committed to carry out a feasibility study and develop a design for an animal health center that would include a hygiene and environmental analysis laboratory. The Animal Health Center was inaugurated in April 2017. It was built with funding from the Gobi Oyu Development Support Fund. It was originally built to provide veterinary, animal breeding and laboratory services to the eastern region of South Gobi aimag, including Khanbogd, Manlai, Bayan-Ovoo and Tsogttsetsiy soums.</p> <p>The Khanbogd soum government agreed to coordinate with the South Gobi aimag and Food & Agricultural Department to prepare qualified personnel in the field of hygiene, sanitation and environment to be employed at the laboratory for the Animal Health Center.","Сумын засаг захиргаа техник эдийн засгийн үндэслэлийг  гаргаж, зураг төслийг нь боловсруулах үүрэг хүлээсэн. Хөгжлийг Дэмжих Говийн Оюу Сангийн санхүүжилтээр барьсан Малын эрүүл мэндийн төв 2017 оны 4 сард ашиглалтанд оров. Анхнаасаа Ханбогд, Манлай, Баян-Овоо, Цогтцэций сумдыг хамран Өмнөговь аймгийн зүүн бүс нутагт мал эмнэлэг, үржил, лабораторийн үйлчилгээ үзүүлэхээр баригдсан.</p> <p>Ханбогд сумын засаг захиргаа Аймаг болон Хүнс, хөдөө аж ахуйн газартай хамтран Малын эрүүл мэндийн төвийн лабораторит ажиллах ариун цэвэр, эрүүл ахуй, байгаль орчны чиглэлээр мэргэжсэн ажилтнуудыг бэлтгэхээр тохирсон.",delayed,"This commitment is DELAYED. Construction of the Animal Health Center was completed in April 2017. However, it did not have funding or staff approved for its operation, nor did it have a strategic plan, so the Animal Health Center has yet to be opened and operationalized. This commitment only had money allocated to it in mid-2019 for the strategic plan. The Soum government allocated more than  MNT 30 million to the livestock center from the Development Support Fund and is using the money to contract with the Mongolian Agriculture University to develop a five year strategic plan, including defining the functions of the livestock health center, getting accreditation, and hiring and training staff.</p> <p>Though OT paid for the construction of the Animal Health Center through the Development Support Fund, the salaries of staff must be paid for by the government, and the soum government has had difficulty coordinating funding for these staff positions among the various levels of government required for approval. According to the soum government, the Animal Health Center needs seven to nine staff to be fully operational. Two staff were approved to work in October of 2019.","Энэ үүрэг амлалтийн хэрэгжилт ХОЦОРЧ байна. Малын эрүүл мэндийн төв 2017 оны 4 сард баригдаж дууссан. Гэвч үйл ажиллагаа явуулах санхүүжилт, хүн хүч байхгүй, стратеги төлөвлөгөө ч үгүй учраас Малын эрүүл мэндийн төв нээгдэж, ажиллагаагаа явуулж эхлэх болоогүй л байна. Энэ үүрэг амлалтанд заасан стратеги төлөвлөгөө боловсруулах мөнгийг 2019 оны дунд үед л хуваарилжээ.  Сумын засаг захиргаа Хөгжлийг Дэмжих Сангаас гаргасан санхүүжилтээс 30 сая гаруй төгрөгийг малын эрүүл мэндийн төвд хуваарилсан бөгөөд үүнийг малын эрүүл мэндийн төвийн үйл ажиллагааг тодорхойлох, магадлан итгэмжлэл хийлгэх, ажилтнуудыг ажилд авах, сургах зэргийг хамарсан таван жилийн стратеги төлөвлөгөө боловсруулах ажлыг Монгол улсын хөдөө аж ахуйн их сургуулиар хийлгэхээр байгуулсан гэрээнд зарцуулж байна.</p> <p>ОТ Хөгжлийг Дэмжих Сангаар дамжуулан Малын эрүүл мэндийн төвийн барилгын санхүүжилтийг гаргасан бөгөөд ажилтнуудын цалинг орон нутгийн засаг захиргаа төлөх ёстой, гэвч сумын захиргаа эдгээр ажилтнуудын цалинг зохицуулах гэж засгийн газрын шат дамжлага болгонд хүндрэлтэй тулгарч байна. Сумын захиргааны хэлснээр Малын эрүүл мэндийн төвийг бүрэн ажиллуулахад 7-9 ажилтан хэрэгтэй аж. 2019 оны 10 сараас 2 ажилтан авч ажиллуулахаар баталсан. ",,"OT comment: COMPLETED. Costruction of Livestock health center was completed in 2017 and handed over to local government, it was put into operation. OT comment: The management of livestock health center was trasnferred to the Central Department of Veterinary, and Khanbogd soum government together with Aimag Veterinary Department are working on formalizing their cooperation  to operate the center with its full capacity. According to the law, it is a state-governed entity."
34,d,Train sectorial specialists in application of advanced software and encourage them to possess livestock production management and technological skills,"Дэвшилтэт программ хангамж ашиглаж чадах салбарын мэргэжилтнүүдийг сургаж, мал аж ахуйн үйлдвэрлэлийн менежмент, технологийн ур чадвар эзэмшүүлэх",Animal Husbandry Development,Мал аж ахуйг хөгжүүлэх,,,,N,2017-2018,2017-2018,The Khanbogd soum government agreed to coordinate with the South Gobi aimag and Food & Agricultural Department to train specialists in the application of advanced software and encourage them to possess livestock production management and technological skills.,"Ханбогд сумын захиргаа Өмнөговь аймаг, Хүнс хөдөө аж ахуйн газартай хамтран дэвшилтэт программ хангамж ашиглаж чадах салбарын мэргэжилтнүүдийг сургаж, мал аж ахуйн үйлдвэрлэлийн менежмент, технологийн ур чадвар эзэмшүүлэхээр тохирсон",delayed,This commitment is DELAYED. The soum has been delayed in hiring appropriate specialists due in part to a lack of available specialists around the country.,Энэ үүрэг амлалтын хэрэгжилт ХОЦОРЧ байна. Улс оронд мэргэжлийн боловсон хүчин хангалттай бус байгаан улмаас зохих мэргэжилтнүүдийг ажилд авах ажил хойшилж байна.,,
34,e,"Organize training, meetings and trip for herders to exchange experience and gain knowledge and skills to prevent natural risks, improve animal health and productivity, pasture management practice and traditional and modern ways of livestock herding",Байгалийн эрсдлээс урьдчилан сэргийлэх,Animal Husbandry Development,Мал аж ахуйг хөгжүүлэх,N,N,N,N,2023-2025,2023-2025,"The Khanbogd soum committed to organize training, meetings and a trip for herders to exchange experience and gain knowledge and skills to prevent natural risks, improve animal health and productivity, pasture management practice and traditional and modern ways of livestock herding.","Байгалийн эрсдлээс урьдчилан сэргийлэх, малын эрүүл мэнд, ашиг шимийг дээшлүүлэх, бэлчээрийн менежментийн дадал, мал маллагааны уламжлалт болон орчин үеийн арга барилыг сайжруулахын тулд туршлага солилцох, мэдлэг, чадвар эзэмшүүлэх сургалт, уулзалт, аялалыг  малчдад зориулан зохион байгуулах үүргийг Ханбогд сум хүлээсэн.",in_progress,"This commitment is IN PROGRESS.  This commitment is part of a broader plan the soum assumed responsibility for implementing, but OT has been able step in to organize trainings on modern herding practices and knowledge. These include: <ul><li>A training and consultation in 2019 attended by 13 herders involving the naturalization of an Angus breed cow;</li> <li>An experience sharing trip to Selenge aimag attended by 3 herders to learn about cattle farm operations;</li> <li>A trip to Inner Mongolia in 2019 involving 15 herders to learn about intensive farming experiences;</li> <li>Trainings by veterinarians about livestock health standards; and </li> <li>Trainings on establishing and managing cooperatives.</li></ul>","Энэ үүрэг амлалт ХЭРЭГЖИЖ байна. Энэ үүрэг амлалт нь сум хэрэгжүүлэхээр үүрэг хүлээсэн өргөн хүрээтэй төлөвлөгөөний нэг хэсэг, гэхдээ ОТ мал маллагааны орчин үеийн арга туршлага, мэдлэг олгох сургалт зохион байгуулахад оролцсон байна.Үүнд: 2019 онд Aнгус үүлдрийн үхрийг нутагшуулах сургалт, зөвлөлгөөнд13 малчин. Үхрийн аж ажуйг хэрхэн эрхлэх тухай туршлага судлахаар Сэлэнгэ аймагт хийсэн аялалд 3 малчин. 2019 онд Өвөр Монголд эрчимжүүлсэн аж ахуйн туршлага судлах аялалд 15 малчин. Малын эрүүл мэндийн стандартын сургалтанд  малын эмч нар хамрагдсан ба мөн. Хоршоолол байгуулах, удирдах сургалтууд зохион байгуулсан байна. ",,"OT comment: STARTED. OT have organized many trainings for herders on modern herding practices and knowledge. In 2019, 13 herders were involved in the training and consultaion on naturalization of Angus breed cow. 3 herders went on experience sharing trip to Selenge aimag to learn about cattle farm operation. In 2019, 15 herders went on trip to Inner Mongolia to learn from their intensive farming experience. 16 veterinarians have been involved in the training on livestock health standards. A training package on cooperative for herders covered by compensation program (establishment, charter and procedures, finances etc.). Training on development of cooperative, prospects planning course; as well as professional consultations were provided on Angus cow, local sheep and vetegatble business projects. Sustainable liveihood support training for herders covered by compensation program (plantation, animal husbandry, sewing, welding and business planning etc.)"
34,f,Strengthen capacity of soum veterinary and breeding service unit with establishment of livestock sector database and provision of equipment and software required to implement the development program,"Мал аж ахуйн салбарын мэдээллийн сан байгуулан, хөгжлийн хөтөлбөрийг хэрэгжүүлэхэд шаардлагатай тоног төхөөрөмж, програм хангамжаар хангах замаар сумын мал эмнэлэг, үржлийн тасгийн чадавхийг бэхжүүлэх",Animal Husbandry Development,Мал аж ахуйг хөгжүүлэх,,,,,2017-2020,2017-2020,The Khanbogd soum government agreed to strengthen the capacity of the soum veterinary and breeding service unit by establishing a livestock sector database and providing equipment and software required to implement the development program.,"Ханбогд сумын захиргаа мал аж ахуйн салбарын мэдээллийн сан байгуулан, хөгжлийн хөтөлбөрийг хэрэгжүүлэхэд шаардлагатай тоног төхөөрөмж, програм хангамжаар хангах замаар сумын мал эмнэлэг, үржлийн тасгийн чадавхийг бэхжүүлэхэр тохирсон.",in_progress,"This commitment is IN PROGRESS. The Khanbogd soum livestock health center has been provided with furniture, computers and laboratory equipment to carry out its work.","Энэ үүрэг амлалт ХЭРЭГЖИЖ байна. Ханбогд сумын малын эрүүл мэндийн төвд шаардлагатай тавилга, компьютер, лабораторын тоног төхөөрөмж зэргийг олгожээ.",,"OT comment: 50%, implementation is in progress. Provided necessary furnitures, computers and  laboratory equipment to Khanbogd soum livestock health center."
34,g,"Place all breeding processes using ram and male goats under the control of a specialized organization, and implement ""Core Livestock"" project and grow high quality male animals to be used for breeding","Хуц, ухна зэрэг эцэг мал ашигладаг үржлийн бүхий л үйл явцыг мэргэжлийн байгууллагын хяналтан дор  явуулж, ""Цөм Сүрэг"" төслийг хэрэгжүүлэн үржилд зориулан өндөр чанартай эцэг мал өсгөх",Animal Husbandry Development,Мал аж ахуйг хөгжүүлэх,,,,,2018-2022,2018-2022,The Khanbogd soum government agreed to place all breeding processes using ram and male goats under the control of a specialized organization. It also agreed to implement a “Core Livestock” project to grow high quality male animals to be used for breeding.,"Ханбогд сумын захиргаа хуц, ухна зэрэг эцэг мал ашигладаг үржлийн бүхий л үйл явцыг мэргэжлийн байгууллагын хяналтан дор  явуулж, ""Цөм Сүрэг"" төслийг хэрэгжүүлэн үржилд зориулан өндөр чанартай эцэг мал өсгөхөөр тохирсон.",in_progress,"This commitment is IN PROGRESS. This commitment is being implemented through herder-initiated efforts with OT support.  In 2019, 12 herder households established a cooperative to raise a breed of Gaviluud sheep, which they report is going well as they have added 150 baby lambs in their first year of the project. Additionally, 9 herder households are involved in a project to establish a high-efficiency cattle farm raising an Angus breed of cows.  Herders expressed some concern about the success of this project as it is still unclear whether the cows can survive the local climate and whether they will have sufficient forage.  To date, they have successfully added 8 baby calves.","Энэ үүрэг амлалт ХЭРЭГЖИЖ байна. Малчдын санаачлагыг ОТ дэмжих замаар энэ үүрэг амлалтыг хэрэгжүүлж байна. 2019 онд 12 малчин өрх Гавилууд үүлдрийн хонийг өсгөж үржүүлэхээр хоршоо байгуулан,  төслийн эхний жилд 150 шинэ хурга хүлээж авч, сайн ажиллаж байгаа аж. Түүнчлэн 9 малчин өрх өндөр үр ашигтай Ангус үхрийн аж ахуй байгуулах төсөлд оролцож байна. Уг үхэр орон нутгийн байгаль цаг уурт дасах эсэх, өвс тэжээл хангалттай байх эсэх нь тодорхойгүй тул төслийн амжилтанд санаа зовниж байгаагаа малчид илэрхийлж байв. Өнөөдрийн байдлаар тэд 8 тугал авсан амжилттай байна. ",,"OT comment: 50%, implementation is in progress. In 2017, “Core livestock” survey project funded by DSF was implemented in Khanbogd and other 3 soums. In 2019, a high-efficiency cattle farm  project initiated by the herders was launched with OT support. Furthermore12 households have established a cooperative to specifically raise Gaviluud breed sheep, and they have got new addition of 150 baby lambs in the first year of the project."
34,h,"Implement ""Intensified Livestock"" project and breed highly productive animals suitable for the climate and weather conditions of the soum","""Эрчимжсэн мал аж ахуй"" төслийг хэрэгжүүлж, сумын уур амьсгал, цаг агаарын нөхцөлд тохирсон өндөр бүтээмж бүхий үүлдрийн мал үржүүлэх",Animal Husbandry Development,Мал аж ахуйг хөгжүүлэх,,,Y,N,2020-2022,2020-2022,The Khanbogd soum government agreed to implement an “Intensified Livestock” project and breed highly productive animals suitable for the climate and weather conditions of the soum.,"Ханбогд сумын захиргаа ""Эрчимжсэн мал аж ахуй"" төслийг хэрэгжүүлж, сумын уур амьсгал, цаг агаарын нөхцөлд тохирсон өндөр бүтээмж бүхий үүлдрийн мал үржүүлэхээр тохирсон. ",in_progress,"This commitment is IN PROGRESS. This commitment is being implemented through herder-initiated efforts with OT support. In 2019, 12 herder households established a cooperative to raise a breed of Gaviluud sheep, which they report is going well as they have added 150 baby lambs in their first year of the project. Additionally, 9 herder households are involved in a project to establish a high-efficiency cattle farm raising an Angus breed of cows.  Herders expressed some concern about the success of this project as it is still unclear whether the cows can survive the local climate and whether they will have sufficient forage.  To date, they have successfully added 8 baby calves.","Энэ үүрэг амлалт ХЭРЭГЖИЖ байна. Малчдын санаачлагыг ОТ дэмжих замаар энэ үүрэг амлалтыг хэрэгжүүлж байна. 2019 онд 12 малчин өрх Гавилууд үүлдрийн хонийг өсгөж үржүүлэхээр хоршоо байгуулан,  төслийн эхний жилд 150 шинэ хурга хүлээж авч,   сайн ажиллаж байгаа аж. Түүнчлэн 9 малчин өрх өндөр үр ашигтай Ангус үхрийн аж ахуй байгуулах төсөлд оролцож байна. Уг үхэр орон нутгийн байгаль цаг уурт дасах эсэх, өвс тэжээл хангалттай байх эсэх нь тодорхойгүй тул төслийн амжилтанд санаа зовниж байгаагаа малчид илэрхийлж байв. Өнөөдрийн байдлаар тэд 8 тугал авсан амжилттай байна. ",,"OT comment: 80%, implementation is in progress. In 2018 and 2019, a high-efficiency cattle farm  project initiated by the herders was launched with OT support. By now, 9 herders’ households are engaged in naturalization of Angus breed cows and they have got 8 baby calves."
34,i,Add market value and competitiveness of torom or 2 year old baby camel wool by using advanced wool combing technology and introduce camel and sheep wool shearing technology,"Ноос самнах дэвшилтэт технологийг ашиглан тором буюу 2 настай бага тэмээний ноосны зах зээлийн үнэлгээ, өрсөлдөх чадварыг нэмэгдүүлэх, тэмээ, хонины ноос хяргах технологи нэвтрүүлэх",Animal Husbandry Development,Мал аж ахуйг хөгжүүлэх,,,,,2018-2019,2018-2019,The Khanbogd soum government agreed to introduce advanced wool combing technology and introduce camel and sheep wool shearing technology in order to improve production of baby camel wool.,"Ханбогд сумын захиргаа ноос самнах дэвшилтэт технологийг нэвтрүүлэх, торомны ноос үйлдвэрлэлийг нэмэгдүүлэхийн тулд тэмээ, хонины ноос хяргах технологи нэвтрүүлэхээр тохирсон.",delayed,"This commitment is DELAYED. There was a one-day training provided to herders on how to use new sheering technology for camel and sheep wool.  Some herders have continued to use the new sheering technology, but other herders interested in its use report that they do not have access to the technology.  It is unclear what steps will be taken to survey interest among herders and ensure that the technology is more widely available to those interested in using it.","Энэ амлалт үүрэг ХОЦОРЧ байна. Ноос хяргах шинэ технологийг тэмээ, хонины ноос хяргахад хэрхэн ашиглах тухай нэг өдрийн сургалт хийгдсэн. Зарим малчид ноос хяргах тэрхүү шинэ технологийг үргэлжлүүлэн ашиглаж байгаа ч түүнийг хэрэглэхийг хүссэн бусад малчдад багаж нь хүрэлцэхгүй байна. Малчид хэр их сонирхож байгаад судалгаа хийх, сонирхсон нэгэнд нь өргөн хүртээмжтэй болгохын тулд ямар алхам хийх нь тодорхойгүй байна. ",,"OT comment: 20%, implementation is in progress. A pilot project on shearing camel and sheep wool using electric devices has been started, now the herders still use the electric scissors"
34,j,Produced food products that meet health and hygiene requirements using processed camel's milk,"Тэмээний боловсруулсан сүүг ашиглан эрүүл мэнд, эрүүл ахуйн шаардлагад нийцсэн хүнсний бүтээгдэхүүн үйлдвэрлэх",Animal Husbandry Development,Мал аж ахуйг хөгжүүлэх,,,,,2019-2020,2019-2020,The Khanbogd soum government agreed to introduce an initiative to produce food products that meet health and hygiene requirement using processed camel’s milk.,"Ханбогд сумын захиргаа тэмээний боловсруулсан сүүг ашиглан эрүүл мэнд, эрүүл ахуйн шаардлагад нийцсэн хүнсний бүтээгдэхүүн үйлдвэрлэхээр тохирсон.",not_started,This commitment is NOT STARTED.,Энэ үүрэг амлалт хэрэгжиж ЭХЛЭЭГҮЙ байна. ,,
34,k,Support other types of production for processing livestock raw material based on a feasibility study,Техник-эдийн засгийн үндэслэлд тулгуурлан малын гаралтай түүхий эдийг боловсруулах үйлдвэрлэлийн бусад төрлийг дэмжих,Animal Husbandry Development,Мал аж ахуйг хөгжүүлэх,N,N,N,N,2020-2021,2020-2021,The Khanbogd soum government agreed to introduce an initiative to support other types of production for processing livestock raw material based on a feasibility study.,Ханбогд сумын захиргаа техник-эдийн засгийн үндэслэлд тулгуурлан малын гаралтай түүхий эдийг боловсруулах үйлдвэрлэлийн бусад төрлийг дэмжих санаачлага нэвтрүүлэхээр тохирсон.,not_started,This commitment is NOT STARTED.,Энэ үүрэг амлалт хэрэгжиж ЭХЛЭЭГҮЙ байна. ,,
34,l,Establish livestock product processing plant furnished with state-of-the-art technology,Хамгийн сүүлийн үеийн технологи бүхий малын гаралтай бүтээгдэхүүн боловсруулах үйлдвэр байгуулах,Animal Husbandry Development,Мал аж ахуйг хөгжүүлэх,N,N,N,N,2021-2022,2021-2022,The Khanbogd soum government agreed to introduce an initiative to establish a livestock product processing plant furnished with state-of-the-art technology.,Ханбогд сумын захиргаа хамгийн сүүлийн үеийн технологи бүхий малын гаралтай бүтээгдэхүүн боловсруулах үйлдвэр байгуулах санаачлагыг нэвтрүүлэхээр тохирсон. ,not_started,This commitment is NOT STARTED.,Энэ үүрэг амлалт хэрэгжиж ЭХЛЭЭГҮЙ байна,,"OT comment: 10%, implementation is in progress. The slaughter line project is at the stage of project development. The project governance has been selected through discussions with all the herders’ households of the soum in January 2020."
